--Fold 1:
--Epoch 35/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2804, Val Acc 0.9275, Best Acc 0.93
--Epoch 36/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2804, Val Acc 0.9250, Best Acc 0.93
--Epoch 37/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2804, Val Acc 0.9250, Best Acc 0.93
--Epoch 38/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2805, Val Acc 0.9250, Best Acc 0.93
--Epoch 39/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2806, Val Acc 0.9250, Best Acc 0.93
--Epoch 40/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2807, Val Acc 0.9250, Best Acc 0.93
--Removing layers: [7, 8, 9, 10]
Pruned model to 8 layers.
--Epoch 1/40: Train Loss 0.0668, Train Acc 0.6744, Val Loss 1.4005, Val Acc 0.8075, Best Acc 0.8075
--Epoch 2/40: Train Loss 0.0248, Train Acc 0.9637, Val Loss 0.8135, Val Acc 0.8675, Best Acc 0.8675
--Epoch 3/40: Train Loss 0.0118, Train Acc 0.9900, Val Loss 0.6120, Val Acc 0.8900, Best Acc 0.89
--Epoch 4/40: Train Loss 0.0068, Train Acc 0.9981, Val Loss 0.5127, Val Acc 0.8975, Best Acc 0.8975
--Epoch 5/40: Train Loss 0.0043, Train Acc 1.0000, Val Loss 0.4519, Val Acc 0.9050, Best Acc 0.905
--Epoch 6/40: Train Loss 0.0030, Train Acc 1.0000, Val Loss 0.4129, Val Acc 0.9075, Best Acc 0.9075
--Epoch 7/40: Train Loss 0.0022, Train Acc 1.0000, Val Loss 0.3862, Val Acc 0.9100, Best Acc 0.91
--Epoch 8/40: Train Loss 0.0017, Train Acc 1.0000, Val Loss 0.3663, Val Acc 0.9125, Best Acc 0.9125
--Epoch 9/40: Train Loss 0.0013, Train Acc 1.0000, Val Loss 0.3509, Val Acc 0.9100, Best Acc 0.9125
--Epoch 10/40: Train Loss 0.0011, Train Acc 1.0000, Val Loss 0.3384, Val Acc 0.9125, Best Acc 0.9125
--Epoch 11/40: Train Loss 0.0009, Train Acc 1.0000, Val Loss 0.3279, Val Acc 0.9125, Best Acc 0.9125
--Epoch 12/40: Train Loss 0.0008, Train Acc 1.0000, Val Loss 0.3192, Val Acc 0.9150, Best Acc 0.915
--Epoch 13/40: Train Loss 0.0007, Train Acc 1.0000, Val Loss 0.3118, Val Acc 0.9150, Best Acc 0.915
--Epoch 14/40: Train Loss 0.0006, Train Acc 1.0000, Val Loss 0.3055, Val Acc 0.9150, Best Acc 0.915
--Epoch 15/40: Train Loss 0.0005, Train Acc 1.0000, Val Loss 0.3002, Val Acc 0.9150, Best Acc 0.915
--Epoch 16/40: Train Loss 0.0004, Train Acc 1.0000, Val Loss 0.2956, Val Acc 0.9150, Best Acc 0.915
